commodity,role,registered_direction,registered_reason,in_signed_family,inside_months,outside_months,inside_tail_months,tail_threshold,log_signed_tail_ratio,signed_mean_difference,eligible,shift_p_value,worst_case_shift_p_value,statistics_agree,bh_q_value,reject_fdr,standardized_log_signed_tail_ratio
"Rice, Thai 5%",mechanism_candidate,unregistered,,False,427,372,42,0.05957637724730372,-0.03869894130134865,-0.0019163687874297975,True,0.5384615384615384,0.12307692307692308,False,,False,-0.07614777421320751
"Rubber, RSS3",mechanism_candidate,positive,heavy rainfall reduces usable tapping days,True,427,372,58,0.07339540076602716,0.8179666690894551,0.0029418464889625637,True,0.015384615384615385,0.03076923076923077,True,0.06923076923076923,False,2.9500830044501427
"Shrimps, Mexican",mechanism_candidate,unregistered,,False,396,369,32,0.033663750797453755,-0.4069055116701333,0.0014878268633552836,True,0.9230769230769231,1.0,False,,False,-1.5992732766729425
Silver,negative_control,unregistered,,False,427,372,43,0.07604862689767271,0.010875229180292047,-0.0018603878773201172,True,0.4307692307692308,0.8615384615384616,False,,False,0.0630450841564697
Sorghum,mechanism_candidate,unregistered,,False,381,346,47,0.06319778050147136,0.4874891493887031,0.005055451918320625,True,0.06153846153846154,0.12307692307692308,True,,False,1.675538230730909
Soybeans,mechanism_candidate,positive,dry southern-cone growing seasons cut Argentine and southern Brazilian supply,True,427,372,51,0.06152162152194652,0.41964676838593507,0.0027913781685058774,True,0.09230769230769231,0.18461538461538463,True,0.16615384615384615,False,1.725012542180454
"Sugar, world",mechanism_candidate,unregistered,,False,427,372,40,0.12115163698606773,-0.11254347373256404,-0.003508925221489302,True,0.6307692307692307,1.0,False,,False,-0.3110415121901451
"Tea, avg 3 auctions",mechanism_candidate,unregistered,,False,427,372,48,0.04892962587919066,0.26277893266976443,0.0013948509263367785,True,0.23076923076923078,0.46153846153846156,True,,False,1.0974667490693422
"Tobacco, US import u.v.",mechanism_candidate,unregistered,,False,425,372,56,0.0215216419401997,0.702706593976159,0.004004948956960589,True,0.015384615384615385,0.03076923076923077,True,,False,2.534047342125219
Urea,mechanism_candidate,unregistered,,False,427,372,55,0.097069806856656,0.6401597926500271,0.00877642783660017,True,0.03076923076923077,0.06153846153846154,True,,False,2.8570494353166476
"Wheat, US HRW",mechanism_candidate,unregistered,,False,427,372,56,0.06074831183124963,0.6980227446637327,0.005549467336938416,True,0.03076923076923077,0.06153846153846154,True,,False,2.648603412982892
