commodity,episodes,draw_universe_episodes,mean_return,median_return,positive_share,direction,sign_agreement,standard_error,t_statistic,confidence_level,ci_lower,ci_upper,bootstrap_p_value,bootstrap_p_value_method,centered_p_value,studentized_p_value,studentized_ci_lower,studentized_ci_upper,studentized_valid_replicates,studentized_status,group,bh_q_value,by_q_value,westfall_young_p_value,westfall_young_status,reject_fdr,reject_fdr_arbitrary_dependence,reject_fwer,observed_mean_return,placebo_mean_return,observed_minus_placebo_mean,placebo_interval_lower,placebo_interval_upper,valid_placebo_replicates,required_valid_placebo_replicates,placebo_status,placebo_p_value,placebo_bh_q_value,reject_placebo_fdr,passes_current_gates
"Rice, Thai 5%",19,19,0.172675775978627,0.0789033374203543,0.6842105263157895,positive,True,0.0558928190605059,3.089408959524828,0.95,0.0747085743691381,0.2872965771995614,0.015998400159984,studentized,0.0024997500249975,0.015998400159984,0.0731233010868393,0.3242294112896507,10000,estimated,grains,0.047995200479952,0.1917402082633524,0.261973802619738,estimated,True,False,False,0.172675775978627,-0.017800441427571867,0.19047621740619886,-0.08961423410403217,0.05519544022355043,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,True
"Rubber, RSS3",19,19,0.3786929463051429,0.4187675158529695,0.9473684210526316,positive,True,0.0711147377540095,5.325097979198995,0.95,0.2511269721311936,0.5172580544784475,0.0001999800019998,studentized,9.999000099990002e-05,0.0001999800019998,0.2424581147834884,0.5396382587950214,10000,estimated,raw_materials,0.0011998800119988,0.0047935052065838,0.036996300369963,estimated,True,True,True,0.3786929463051429,0.056285844994091554,0.3224071013110513,-0.006483586820547954,0.11949385462618758,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,True
"Shrimps, Mexican",18,19,-0.0433928151003561,-0.0263491454082958,0.4444444444444444,negative,True,0.0409721906738042,-1.059079692512014,0.95,-0.1216661340955845,0.0334920221145754,0.3042695730426957,studentized,0.2721727827217278,0.3042695730426957,-0.1378251810122579,0.0349570592432125,10000,estimated,marine,0.3803369663033697,1.0,0.8971102889711029,estimated,False,False,False,-0.0433928151003561,0.06467197772219051,-0.10806479282254661,-0.005436683871405703,0.13635491993075502,10000,9000,estimated,0.0015998400159984002,0.0028232470870560005,True,False
Sorghum,18,19,0.0559003673487684,0.0248562651517537,0.5,positive,False,0.0454324006000717,1.2304075199733138,0.95,-0.0292376722044756,0.1439309503271903,0.2346765323467653,studentized,0.2070792920707929,0.2346765323467653,-0.0417871296775822,0.152871134508664,10000,estimated,grains,0.3352521890668076,1.0,0.8939106089391061,estimated,False,False,False,0.0559003673487684,-0.003339717157387744,0.05924008450615614,-0.05941924043381317,0.0546107403499566,10000,9000,estimated,0.0451954804519548,0.06456497207422116,False,False
Soybeans,19,19,0.1078011330750206,0.0318883424135046,0.6842105263157895,positive,True,0.0585865758621677,1.8400312953710796,0.95,0.0051059982931864,0.2300376798267165,0.1215878412158784,studentized,0.0578942105789421,0.1215878412158784,0.0115398328220761,0.3327286741995539,10000,estimated,oils,0.214566778616256,0.8571915192949873,0.6817318268173183,estimated,False,False,False,0.1078011330750206,0.014711805500406957,0.09308932757461363,-0.037509581863605,0.06982264173994,10000,9000,estimated,0.0007999200079992001,0.0015998400159984002,True,False
"Sugar, world",19,19,0.1085251541610622,0.0716415275177821,0.631578947368421,positive,True,0.0909808395198859,1.1928352687638322,0.95,-0.0467504286741558,0.302695409576402,0.2723727627237276,studentized,0.2130786921307869,0.2723727627237276,-0.0508686537567925,0.3448352800854991,10000,estimated,horticulture,0.3602248470805094,1.0,0.8971102889711029,estimated,False,False,False,0.1085251541610622,0.04916800038322529,0.059357153777836916,-0.17089211032918136,0.2849923808330219,10000,9000,estimated,0.6397360263973603,0.6854314568543146,False,False
"Tea, avg 3 auctions",19,19,0.0762583973998172,0.019999889352499,0.631578947368421,positive,True,0.0468891353463194,1.6263553771375567,0.95,-0.0043509976945431,0.1725982405989276,0.1635836416358364,studentized,0.0921907809219078,0.1635836416358364,0.0007736892304096,0.2482424934038125,10000,estimated,beverages,0.272639402726394,1.0,0.7705229477052294,estimated,False,False,False,0.0762583973998172,-0.04025624553419874,0.11651464293401594,-0.07939542075567127,-0.002964389211158609,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,False
"Tobacco, US import u.v.",19,19,0.0021569834843135,-0.0154530249751733,0.4210526315789473,positive,False,0.0206883422597939,0.1042608178667582,0.95,-0.0350922577975286,0.0426125124003845,0.9225077492250776,studentized,0.9189081091890812,0.9225077492250776,-0.0345479264601736,0.0554359009868188,10000,estimated,raw_materials,0.9225077492250776,1.0,0.9971002899710028,estimated,False,False,False,0.0021569834843135,-0.005225950802997588,0.007382934287311087,-0.04327933492861996,0.03355237661637824,10000,9000,estimated,0.704929507049295,0.7292374210854776,False,False
Urea,19,19,0.1779372133894311,0.0863622377539603,0.5789473684210527,positive,True,0.0667499927555352,2.665726332602122,0.95,0.0546937984268766,0.3103394383991626,0.0290970902909709,studentized,0.0052994700529947,0.0290970902909709,0.0547144965894628,0.357713550410462,10000,estimated,fertilizers,0.0727427257274272,0.2906062531491435,0.3575642435756424,estimated,False,False,False,0.1779372133894311,0.00682182954631898,0.17111538384311212,-0.07826969211100175,0.09369020560648295,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,False
"Wheat, US HRW",19,19,0.021583869343326,-0.0484893696449129,0.4210526315789473,positive,False,0.0613327310291876,0.351914369067546,0.95,-0.0922184191882525,0.1436409986164386,0.7157284271572842,studentized,0.7099290070992901,0.7157284271572842,-0.0983950717821906,0.1704583175661491,10000,estimated,grains,0.812252108122521,1.0,0.9971002899710028,estimated,False,False,False,0.021583869343326,-0.03131803231458104,0.052901901657907036,-0.08183846330924038,0.016202377204056113,10000,9000,estimated,0.027597240275972403,0.04357458990943011,True,False
