commodity,macro_episodes,macro_draw_universe_episodes,macro_mean_return,macro_median_return,macro_positive_share,macro_direction,macro_sign_agreement,macro_standard_error,macro_t_statistic,macro_confidence_level,macro_ci_lower,macro_ci_upper,macro_bootstrap_p_value,macro_bootstrap_p_value_method,macro_centered_p_value,macro_studentized_p_value,macro_studentized_ci_lower,macro_studentized_ci_upper,macro_studentized_valid_replicates,macro_studentized_status,macro_group,macro_eligible,macro_bootstrap_bh_q_value,macro_reject_bootstrap_fdr,macro_observed_mean_return,macro_placebo_mean_return,macro_observed_minus_placebo_mean,macro_placebo_interval_lower,macro_placebo_interval_upper,macro_valid_placebo_replicates,macro_required_valid_placebo_replicates,macro_placebo_status,macro_placebo_p_value,macro_placebo_bh_q_value,macro_reject_placebo_fdr,passes_macro_gates
DAP,17,17,0.23916494760341156,0.21891389139629172,0.7647058823529411,positive,True,0.07692838496968601,3.1089297883694766,0.95,0.10349806493038884,0.3986529109406289,0.029497050294970503,studentized,0.0016998300169983002,0.029497050294970503,0.10835795334415815,0.4850596511475168,10000,estimated,fertilizers,True,0.07374262573742625,False,0.23916494760341156,-0.021550577906759235,0.2607155255101708,-0.13689647968501714,0.09008604090456078,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,False
Fish meal,13,17,0.1373683951111035,0.02580164793679826,0.7692307692307693,positive,True,0.05894720937981897,2.3303629901457663,0.95,0.033017624636924786,0.254786337692553,0.0522947705229477,studentized,0.016198380161983803,0.0522947705229477,0.026452364987551186,0.30349922458369,10000,estimated,marine,True,0.11206022254917365,False,0.1373683951111035,0.08128648897404137,0.056081906137062126,-0.0021542985187398616,0.16271606827227536,10000,9000,estimated,0.1855814418558144,0.22269773022697728,False,False
Groundnut oil **,17,17,0.13971947185611858,0.06589493749432633,0.6470588235294118,positive,True,0.07834371071587487,1.7834165701294395,0.95,-0.00013548026884696243,0.29604949042820583,0.10838916108389161,studentized,0.064993500649935,0.10838916108389161,-0.005540657379926095,0.35448192152388436,10000,estimated,oils,True,0.17114078065877622,False,0.13971947185611858,-0.04490615367063619,0.18462562552675477,-0.14972354748179545,0.059131176738089306,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,False
Lamb **,16,17,-0.03219248301810766,-0.06871365760197433,0.375,negative,True,0.051140014117715626,-0.6294969521128022,0.95,-0.12347770560717448,0.06916808152063476,0.5341465853414659,studentized,0.5124487551244875,0.5341465853414659,-0.12411203480545115,0.10532900114666062,10000,estimated,livestock,True,0.6163229830863067,False,-0.03219248301810766,-0.06038465394786075,0.02819217092975309,-0.10668365549924548,-0.013949070202496945,10000,9000,estimated,0.23257674232576742,0.2683577796066547,False,False
"Logs, Malaysian",17,17,0.1688312412045759,0.16517253639009027,0.8823529411764706,positive,True,0.058029954340920537,2.9093809071899006,0.95,0.06260995495752236,0.2820259664613955,0.0053994600539946005,studentized,0.0030996900309969004,0.0053994600539946005,0.05748158343428025,0.29629317142298206,10000,estimated,raw_materials,True,0.02314054308854829,True,0.1688312412045759,0.01623393896091759,0.1525973022436583,-0.0234907339422783,0.06273611201984836,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,True
Maize,17,17,0.10394241271768621,0.1726059589271851,0.7058823529411765,positive,True,0.05946877631619407,1.747848520793952,0.95,-0.008741007543595034,0.21373324255135112,0.09629037096290372,studentized,0.06919308069193081,0.09629037096290372,-0.027008586281625294,0.22469093097343168,10000,estimated,grains,True,0.16731660167316603,False,0.10394241271768621,-0.03312675720187267,0.1370691699195589,-0.09795593883882883,0.030115618655762066,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,False
"Natural gas, Europe",17,17,-0.2673681299253489,-0.2758713485285357,0.058823529411764705,negative,True,0.04166376679861021,-6.417281740696273,0.95,-0.34897644355561475,-0.18991382526183065,9.999000099990002e-05,studentized,9.999000099990002e-05,9.999000099990002e-05,-0.3594256437816674,-0.18051667293742718,10000,estimated,energy,True,0.0009999000099990003,True,-0.2673681299253489,-0.1578631328505014,-0.10950499707484751,-0.20858759740939867,-0.10868195006233665,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,True
"Natural gas, US",17,17,-0.14548913469698796,-0.14316229397199468,0.17647058823529413,negative,True,0.04597618449492712,-3.1644455992871876,0.95,-0.23049301096868902,-0.05561644359904885,0.009299070092990702,studentized,0.0016998300169983002,0.009299070092990702,-0.23449525495749352,-0.036187065136825444,10000,estimated,energy,True,0.028360800283608,True,-0.14548913469698796,-0.02935439813426341,-0.11613473656272455,-0.1528032699214019,0.09798846832221798,10000,9000,estimated,0.06819318068193181,0.08524147585241476,False,False
Orange,17,17,0.006055478581303874,-0.011917264085772416,0.47058823529411764,positive,False,0.06290215542443162,0.09626822070634301,0.95,-0.10845508165807692,0.12865339136771461,0.9283071692830717,studentized,0.9256074392560744,0.9283071692830717,-0.11375724631881169,0.15745451254674453,10000,estimated,horticulture,True,0.9603177613273155,False,0.006055478581303874,-0.011032430154965644,0.017087908736269516,-0.10707937514874342,0.08357983522160485,10000,9000,estimated,0.7429257074292571,0.7685438352716453,False,False
Palm oil,17,17,0.43494056979515805,0.4204073663624583,1.0,positive,True,0.05223320534391675,8.326897936502238,0.95,0.3372135171098383,0.5364663897992225,9.999000099990002e-05,studentized,9.999000099990002e-05,9.999000099990002e-05,0.32473169746314406,0.5457638372194645,10000,estimated,oils,True,0.0009999000099990003,True,0.43494056979515805,0.09538512909053727,0.3395554407046208,-0.00741812058178508,0.19631497086627697,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,True
"Rice, Thai 5%",17,17,0.25231300858309386,0.15054871019586247,0.8823529411764706,positive,True,0.06250224079096017,4.036863405057094,0.95,0.1395924798217854,0.3795682068618799,0.0096990300969903,studentized,0.00019998000199980003,0.0096990300969903,0.13937540177120294,0.43992427181342325,10000,estimated,grains,True,0.028360800283608,True,0.25231300858309386,-0.03181525794873829,0.28412826653183215,-0.10340224073668602,0.04086365775965572,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,True
"Rubber, RSS3",17,17,0.35137064205648333,0.33200706538215957,0.9411764705882353,positive,True,0.06945839075261724,5.058721318608198,0.95,0.22381103380289585,0.4869221478148319,0.00029997000299970003,studentized,9.999000099990002e-05,0.00029997000299970003,0.2154829153151798,0.5223129533670055,10000,estimated,raw_materials,True,0.00224977502249775,True,0.35137064205648333,0.038036461592530726,0.3133341804639526,-0.02845271859886886,0.11063383432826428,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,True
"Shrimps, Mexican",16,17,-0.04243702583430512,-0.01686930353109914,0.5,negative,False,0.04322605428015157,-0.9817464615036874,0.95,-0.12845294524855766,0.03864750530441138,0.34496550344965504,studentized,0.3076692330766923,0.34496550344965504,-0.153368963794548,0.04011783468545902,10000,estimated,marine,True,0.413958604139586,False,-0.04243702583430512,0.06921755175767698,-0.11165457759198211,-0.004745456609281319,0.1478560903609153,10000,9000,estimated,0.0027997200279972004,0.003999600039996,True,False
Sorghum,16,17,0.09634960868214307,0.1246580966330117,0.6875,positive,True,0.05465906430056142,1.7627379816151267,0.95,-0.00825325676815599,0.2003118626216462,0.10038996100389962,studentized,0.068993100689931,0.10038996100389962,-0.025099091186155553,0.21161749376811384,10000,estimated,grains,True,0.16731660167316603,False,0.09634960868214307,-0.029118208993234335,0.1254678176753774,-0.08855899682999285,0.028749932156696204,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,False
Soybeans,17,17,0.10339257137520426,0.03156799193930739,0.6470588235294118,positive,True,0.06118163077556012,1.6899283341186437,0.95,-0.003602305255601201,0.2285373455177114,0.13978602139786023,studentized,0.08099190080991901,0.13978602139786023,0.0018301985621654027,0.3245666606668531,10000,estimated,oils,True,0.20967903209679034,False,0.10339257137520426,-0.005949052511939251,0.10934162388714351,-0.05504238982790477,0.04233205571008131,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,False
"Sugar, world",17,17,0.12042449299330414,0.0933750976526809,0.6470588235294118,positive,True,0.09759658746982494,1.233900652833145,0.95,-0.054855957088285286,0.31425572485093106,0.24337566243375663,studentized,0.20687931206879312,0.24337566243375663,-0.06331407152145456,0.35486657693456697,10000,estimated,horticulture,True,0.33187590331875905,False,0.12042449299330414,-0.10814193661431286,0.228566429607617,-0.252668614171642,0.0459054613260648,10000,9000,estimated,0.0025997400259974,0.0038996100389961,True,False
"Tea, avg 3 auctions",17,17,0.10817507218926319,0.05333289539035592,0.8235294117647058,positive,True,0.051517524307105884,2.0997723327000486,0.95,0.017896434663331812,0.21260222175607854,0.07219278072192781,studentized,0.029597040295970403,0.07219278072192781,0.017291782824488122,0.2561834530605301,10000,estimated,beverages,True,0.13536146385361464,False,0.10817507218926319,-0.04459491712274816,0.15276998931201136,-0.091547742586073,0.0009366458594847428,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,False
"Tobacco, US import u.v.",17,17,-0.019951450256877782,-0.034521239071622745,0.29411764705882354,negative,True,0.018288712608450088,-1.0909160575720045,0.95,-0.0528993448897324,0.01620267315789365,0.29127087291270876,studentized,0.25907409259074093,0.29127087291270876,-0.053630387254398226,0.025855387917499525,10000,estimated,raw_materials,True,0.37991852988614183,False,-0.019951450256877782,0.018853232181515092,-0.03880468243839287,-0.013404127862172396,0.05127434158479268,10000,9000,estimated,0.017598240175982403,0.02295422631649879,True,False
Urea,17,17,0.2983883512046165,0.18222709909376764,0.8823529411764706,positive,True,0.08226064141956238,3.6273525960333304,0.95,0.1493395463482327,0.4605636378280844,0.007799220077992201,studentized,0.00019998000199980003,0.007799220077992201,0.1470718586463485,0.5116645375830466,10000,estimated,fertilizers,True,0.028360800283608,True,0.2983883512046165,0.029401520383236516,0.26898683082138,-0.10494711630779492,0.16560288400498877,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,True
"Wheat, US HRW",17,17,-0.001585997573549733,-0.0745687477771053,0.35294117647058826,negative,True,0.06861197887329043,-0.023115461754552848,0.95,-0.1271124862690366,0.12913739505202926,0.981001899810019,studentized,0.9807019298070193,0.981001899810019,-0.12826799054186258,0.17019344007389886,10000,estimated,grains,True,0.981001899810019,False,-0.001585997573549733,-0.0658205886023431,0.06423459102879338,-0.11924430592207978,-0.013773559043021195,10000,9000,estimated,0.013598640135986401,0.018543600185436,True,False
