commodity,role,eastern_episodes,central_episodes,minimum_detectable_contrast,minimum_detectable_contrast_status,eastern_minus_central,contrast_standard_error,contrast_t_statistic,bootstrap_p_value,observed_contrast_below_mde,bh_q_value,reject_fdr,interpretation
"Natural gas, US",mechanism_candidate,6,13,0.10375022888183594,estimated,0.03196665690334448,0.03426528565240821,0.9329166908928955,0.36776322367763226,True,0.7355264473552645,False,inconclusive_underpowered_subgroup
Orange,mechanism_candidate,6,13,0.10537147521972656,estimated,0.05842535103817952,0.034322445445598496,1.7022490757770867,0.11298870112988701,True,0.4237076292370763,False,inconclusive_underpowered_subgroup
Palm oil,mechanism_candidate,6,13,0.12327194213867188,estimated,-0.05376860451621451,0.03131212012152452,-1.717181855062347,0.21647835216478353,True,0.6154839061548391,False,inconclusive_underpowered_subgroup
Platinum,negative_control,6,13,0.07663726806640625,estimated,0.00932277225412001,0.022731432385137442,0.4101269157246573,0.6876312368763123,True,,False,inconclusive_underpowered_subgroup
"Rice, Thai 5%",mechanism_candidate,6,13,0.06974220275878906,estimated,0.026536061555065448,0.020484792809668046,1.2954029753496668,0.22567743225677434,True,0.6154839061548391,False,inconclusive_underpowered_subgroup
"Rubber, RSS3",mechanism_candidate,6,13,0.0846099853515625,estimated,-0.024491410605281524,0.028369933114770863,-0.8632875694913085,0.39806019398060194,True,0.7387832645306898,False,inconclusive_underpowered_subgroup
"Shrimps, Mexican",mechanism_candidate,6,12,0.017843246459960938,estimated,-0.004220815475372407,0.005878154074517594,-0.7180511810110727,0.48585141485851413,True,0.7387832645306898,False,inconclusive_underpowered_subgroup
Silver,negative_control,6,13,0.09691238403320312,estimated,-0.009155441265280706,0.03152303249839864,-0.2904365646213066,0.7864213578642136,True,,False,inconclusive_underpowered_subgroup
Sorghum,mechanism_candidate,6,12,0.08760452270507812,estimated,-0.06890198836623362,0.02815411220410265,-2.447315257775848,0.0443955604439556,True,0.30116988301169884,False,inconclusive_underpowered_subgroup
Soybeans,mechanism_candidate,6,13,0.2012348175048828,estimated,-0.06637692042163193,0.04451346224600498,-1.4911650784384711,0.31366863313668636,True,0.7135000785635722,False,inconclusive_underpowered_subgroup
"Sugar, world",mechanism_candidate,6,13,0.3029346466064453,estimated,-0.033814220744198334,0.06387867252317933,-0.5293507114119871,0.6039396060393961,True,0.7877473122252993,False,inconclusive_underpowered_subgroup
"Tea, avg 3 auctions",mechanism_candidate,6,13,0.14453887939453125,estimated,-0.0032241150498025116,0.03195107975398584,-0.10090785897150499,0.9228077192280771,True,0.9546286750635281,False,inconclusive_underpowered_subgroup
"Tobacco, US import u.v.",mechanism_candidate,6,13,0.02899169921875,estimated,-0.009396258778127605,0.00934085219131935,-1.0059316415326374,0.33236676332366766,True,0.7135000785635722,False,inconclusive_underpowered_subgroup
Urea,mechanism_candidate,6,13,0.06958961486816406,estimated,-0.05474161399812069,0.023057825172492052,-2.37410135555314,0.039696030396960305,True,0.30116988301169884,False,inconclusive_underpowered_subgroup
"Wheat, US HRW",mechanism_candidate,6,13,0.06975173950195312,estimated,-0.0557734521508053,0.02324188432695937,-2.3996957977331905,0.036196380361963806,True,0.30116988301169884,False,inconclusive_underpowered_subgroup
