commodity,observations,clusters,coefficient,standard_error,t_statistic,status,wild_bootstrap_p_value,role,window,relative_month,bh_q_value,reject_fdr
Platinum,135,12,-0.12701605386865272,0.035930512768887424,-3.5350470694823244,estimated,0.0086,negative_control,primary,0,,False
"Rice, Thai 5%",135,12,-0.15300679524516653,0.05412668253055055,-2.8268275107901797,estimated,0.0289,mechanism_candidate,primary,0,0.16183999999999998,False
"Rubber, RSS3",135,12,-0.01843808892221899,0.07366301040772673,-0.25030322301740965,estimated,0.8081,mechanism_candidate,primary,0,0.9158153846153846,False
"Shrimps, Mexican",117,10,-0.07817931910955454,0.1026453062326347,-0.7616453394602323,estimated,0.5677,mechanism_candidate,primary,0,0.79478,False
Silver,135,12,-0.09478526450093364,0.05601601577505905,-1.692110072261449,estimated,0.0993,negative_control,primary,0,,False
Sorghum,79,7,,,,insufficient_observations,,mechanism_candidate,primary,0,,False
Soybeans,135,12,-0.18107176663535574,0.04646868846098994,-3.8966403535869945,estimated,0.0007,mechanism_candidate,primary,0,0.0196,True
"Sugar, world",135,12,0.14422006518829383,0.13572046202076504,1.0626258048416337,estimated,0.508,mechanism_candidate,primary,0,0.7902222222222223,False
"Tea, avg 3 auctions",135,12,0.03822686791225163,0.038843745377327384,0.9841190014226637,estimated,0.3681,mechanism_candidate,primary,0,0.6856705882352941,False
"Tobacco, US import u.v.",135,12,0.040076081279138843,0.017488595726925408,2.2915551314070224,estimated,0.0537,mechanism_candidate,primary,0,0.21480000000000002,False
Urea,135,12,-0.040848390686682085,0.09580500801832269,-0.42637009830289707,estimated,0.7789,mechanism_candidate,primary,0,0.9158153846153846,False
"Wheat, US HRW",135,12,-0.05792964640167535,0.08518129356314506,-0.6800747438606575,estimated,0.5516,mechanism_candidate,primary,0,0.79478,False
"Banana, US",135,12,-0.03723413998546113,0.06608148710915368,-0.5634579609862232,estimated,0.5886,mechanism_candidate,secondary,1,,
Barley,78,7,,,,insufficient_observations,,mechanism_candidate,secondary,1,,
Beef **,135,12,-0.054825010185921674,0.044526034771331845,-1.2313023260993552,estimated,0.2546,mechanism_candidate,secondary,1,,
Chicken **,135,12,-0.0867647782044163,0.07685116510048512,-1.1289975642004757,estimated,0.3081,mechanism_candidate,secondary,1,,
"Coal, Australian",135,12,-0.2582373028378581,0.18084972625302298,-1.4279109412450193,estimated,0.2026,mechanism_candidate,secondary,1,,
Cocoa,135,12,0.01876621141467276,0.10958257669018483,0.17125178090791895,estimated,0.8807,mechanism_candidate,secondary,1,,
Coconut oil,135,12,-0.08621250304033827,0.08017251706847098,-1.0753373623870244,estimated,0.3121,mechanism_candidate,secondary,1,,
"Coffee, Arabica",135,12,-0.09464747442104225,0.0611085876129533,-1.5488408113850705,estimated,0.1544,mechanism_candidate,secondary,1,,
"Coffee, Robusta",135,12,-0.03722178248868097,0.0806926760500686,-0.46127832550237163,estimated,0.6695,mechanism_candidate,secondary,1,,
"Cotton, A Index",135,12,-0.06864994805660096,0.0432696646631065,-1.5865606676433233,estimated,0.1346,mechanism_candidate,secondary,1,,
DAP,135,12,-0.1472483665386747,0.10398342667236175,-1.4160753424931374,estimated,0.2252,mechanism_candidate,secondary,1,,
Fish meal,135,12,-0.031206698388955113,0.051492092550403074,-0.6060483628317962,estimated,0.5735,mechanism_candidate,secondary,1,,
Gold,135,12,-0.03023353377481853,0.03811251074368302,-0.7932705871346879,estimated,0.4616,negative_control,secondary,1,,
Groundnut oil **,135,12,-0.05372867878884385,0.05308291251105814,-1.012165238251597,estimated,0.3929,mechanism_candidate,secondary,1,,
Lamb **,135,12,0.013102363661131513,0.04395392581153156,0.2980931377395653,estimated,0.7614,mechanism_candidate,secondary,1,,
"Logs, Malaysian",135,12,0.035183657130138296,0.031143066383702636,1.1297428678554957,estimated,0.3146,mechanism_candidate,secondary,1,,
Maize,135,12,-0.04922285231638653,0.07194261977707152,-0.6841959949319792,estimated,0.5209,mechanism_candidate,secondary,1,,
"Natural gas, Europe",135,12,-0.4386613343760752,0.209889607479629,-2.0899621455466764,estimated,0.0478,mechanism_candidate,secondary,1,,
"Natural gas, US",135,12,-0.3335278835995895,0.18341619662490638,-1.818421108587633,estimated,0.1128,mechanism_candidate,secondary,1,,
Orange,135,12,-0.12306103269225938,0.0637243936923071,-1.9311448185205011,estimated,0.0698,mechanism_candidate,secondary,1,,
Palm oil,135,12,-0.13576815929783453,0.07904151864383045,-1.7176815631493672,estimated,0.1307,mechanism_candidate,secondary,1,,
Platinum,135,12,-0.08180751812906949,0.0667934638654061,-1.224783285590905,estimated,0.2668,negative_control,secondary,1,,
"Rice, Thai 5%",135,12,-0.09289557312066739,0.045949048231611375,-2.0217083203207333,estimated,0.0806,mechanism_candidate,secondary,1,,
"Rubber, RSS3",135,12,0.06180179370705173,0.08040714597457314,0.7686107118712444,estimated,0.5538,mechanism_candidate,secondary,1,,
"Shrimps, Mexican",116,10,-0.1524488734833573,0.12731248514880428,-1.1974385175591642,estimated,0.4147,mechanism_candidate,secondary,1,,
Silver,135,12,-0.08237939742092093,0.07728890309122657,-1.0658631980283881,estimated,0.3287,negative_control,secondary,1,,
Sorghum,78,7,,,,insufficient_observations,,mechanism_candidate,secondary,1,,
Soybeans,135,12,-0.10287584991348618,0.04325833123918163,-2.3781742606914396,estimated,0.0672,mechanism_candidate,secondary,1,,
"Sugar, world",135,12,-0.06891708015831936,0.06893368174324968,-0.9997591658459191,estimated,0.3498,mechanism_candidate,secondary,1,,
"Tea, avg 3 auctions",135,12,-0.06533175417500674,0.05652851209376113,-1.1557310064458108,estimated,0.3262,mechanism_candidate,secondary,1,,
"Tobacco, US import u.v.",135,12,-0.0013403572295524267,0.03201950751801919,-0.041860644758453316,estimated,0.9768,mechanism_candidate,secondary,1,,
Urea,135,12,-0.10021327020301425,0.10559558943222623,-0.9490289390101233,estimated,0.3558,mechanism_candidate,secondary,1,,
"Wheat, US HRW",135,12,-0.057304076990916365,0.0735864258998619,-0.7787316246191528,estimated,0.475,mechanism_candidate,secondary,1,,
"Banana, US",135,12,-0.044929150782611525,0.0758028854629346,-0.5927102973485168,estimated,0.5912,mechanism_candidate,lag_placebo_2,2,,
Barley,77,7,,,,insufficient_observations,,mechanism_candidate,lag_placebo_2,2,,
Beef **,135,12,-0.0029819611866280234,0.05897954347538455,-0.05055924496724126,estimated,0.96,mechanism_candidate,lag_placebo_2,2,,
Chicken **,135,12,-0.0825026601400813,0.068066999972142,-1.2120801588706338,estimated,0.289,mechanism_candidate,lag_placebo_2,2,,
"Coal, Australian",135,12,-0.2674492191673497,0.14497842560059762,-1.8447518522800626,estimated,0.1154,mechanism_candidate,lag_placebo_2,2,,
Cocoa,135,12,-0.10589086561509185,0.13617464328572318,-0.7776107435281504,estimated,0.5414,mechanism_candidate,lag_placebo_2,2,,
Coconut oil,135,12,-0.09204189100812218,0.07584409415452116,-1.213567015786363,estimated,0.2432,mechanism_candidate,lag_placebo_2,2,,
"Coffee, Arabica",135,12,-0.1061887278016797,0.049073732561492875,-2.163860832648458,estimated,0.0496,mechanism_candidate,lag_placebo_2,2,,
"Coffee, Robusta",135,12,-0.05989697141626157,0.07046172199308666,-0.8500639740558477,estimated,0.436,mechanism_candidate,lag_placebo_2,2,,
"Cotton, A Index",135,12,-0.11265836816732243,0.05932464498604383,-1.8990146202109661,estimated,0.105,mechanism_candidate,lag_placebo_2,2,,
DAP,135,12,-0.06623874554431382,0.0716076737689113,-0.925023004630428,estimated,0.3861,mechanism_candidate,lag_placebo_2,2,,
Fish meal,135,12,-0.023951242191113026,0.034182858723769624,-0.7006799046464224,estimated,0.5317,mechanism_candidate,lag_placebo_2,2,,
Gold,135,12,-0.01973309049487441,0.03732804826067385,-0.528639760564813,estimated,0.6196,negative_control,lag_placebo_2,2,,
Groundnut oil **,135,12,-0.03295349035972597,0.04217947803998648,-0.7812683297902787,estimated,0.4712,mechanism_candidate,lag_placebo_2,2,,
Lamb **,135,12,0.022032801428362832,0.0790521944760715,0.2787120784487772,estimated,0.7771,mechanism_candidate,lag_placebo_2,2,,
"Logs, Malaysian",135,12,0.002803766370323069,0.0249927986943305,0.11218296936705574,estimated,0.9197,mechanism_candidate,lag_placebo_2,2,,
Maize,135,12,-0.008135264223124297,0.08454997336106651,-0.0962184126112382,estimated,0.9235,mechanism_candidate,lag_placebo_2,2,,
"Natural gas, Europe",135,12,-0.39642448670432856,0.16717475290604417,-2.3713179162114733,estimated,0.0188,mechanism_candidate,lag_placebo_2,2,,
"Natural gas, US",135,12,-0.12756012983355466,0.28988382212036246,-0.4400388020984162,estimated,0.6948,mechanism_candidate,lag_placebo_2,2,,
Orange,135,12,-0.14790440885925546,0.11546555160541735,-1.280939698488533,estimated,0.2582,mechanism_candidate,lag_placebo_2,2,,
Palm oil,135,12,-0.01084674281071175,0.07346784729930227,-0.14763931719032095,estimated,0.8752,mechanism_candidate,lag_placebo_2,2,,
Platinum,135,12,-0.09643513008796381,0.07102951623547066,-1.357676853215088,estimated,0.2381,negative_control,lag_placebo_2,2,,
"Rice, Thai 5%",135,12,0.12155902704421324,0.03970392741023416,3.0616373485732287,estimated,0.0174,mechanism_candidate,lag_placebo_2,2,,
"Rubber, RSS3",135,12,0.001769171901286687,0.08471591989917655,0.02088358248830021,estimated,0.988,mechanism_candidate,lag_placebo_2,2,,
"Shrimps, Mexican",115,10,-0.12390934392604071,0.12308342553622115,-1.0067102323990529,estimated,0.4942,mechanism_candidate,lag_placebo_2,2,,
Silver,135,12,-0.052960445777902224,0.07430353817754175,-0.7127580607448049,estimated,0.5208,negative_control,lag_placebo_2,2,,
Sorghum,77,7,,,,insufficient_observations,,mechanism_candidate,lag_placebo_2,2,,
Soybeans,135,12,-0.10285411569924309,0.06884419288695721,-1.4940129499103936,estimated,0.1876,mechanism_candidate,lag_placebo_2,2,,
"Sugar, world",135,12,-0.07383447345551948,0.07682982487075356,-0.9610131687756287,estimated,0.4012,mechanism_candidate,lag_placebo_2,2,,
"Tea, avg 3 auctions",135,12,-0.07630464937328849,0.04112148817646589,-1.8555906597018093,estimated,0.0988,mechanism_candidate,lag_placebo_2,2,,
"Tobacco, US import u.v.",135,12,-0.010244715438822256,0.03339594182835463,-0.3067652797898947,estimated,0.7875,mechanism_candidate,lag_placebo_2,2,,
Urea,135,12,-0.05845902365512279,0.12071901813356281,-0.48425695105011596,estimated,0.6517,mechanism_candidate,lag_placebo_2,2,,
"Wheat, US HRW",135,12,-0.05588549598784928,0.08644576285652457,-0.6464804536528105,estimated,0.5572,mechanism_candidate,lag_placebo_2,2,,
"Banana, US",135,12,0.0011592183325760646,0.047624226783036794,0.0243409376042398,estimated,0.9793,mechanism_candidate,lag_placebo_3,3,,
Barley,76,7,,,,insufficient_observations,,mechanism_candidate,lag_placebo_3,3,,
Beef **,135,12,-0.03220878250939916,0.07875383552080056,-0.40898049341218606,estimated,0.7101,mechanism_candidate,lag_placebo_3,3,,
Chicken **,135,12,-0.11962919009440247,0.07913896086754421,-1.511634582802107,estimated,0.1719,mechanism_candidate,lag_placebo_3,3,,
"Coal, Australian",135,12,-0.3898861461121098,0.08641973567542295,-4.511540599666405,estimated,0.0018,mechanism_candidate,lag_placebo_3,3,,
Cocoa,135,12,-0.047109459337121344,0.10802906862129869,-0.43608132457631305,estimated,0.6721,mechanism_candidate,lag_placebo_3,3,,
Coconut oil,135,12,0.00010195160300413142,0.13676437245212011,0.0007454543985117446,estimated,1.0,mechanism_candidate,lag_placebo_3,3,,
"Coffee, Arabica",135,12,-0.119667097701355,0.053170340940556685,-2.250636267973912,estimated,0.0461,mechanism_candidate,lag_placebo_3,3,,
"Coffee, Robusta",135,12,-0.0714763552088755,0.06139763762669939,-1.164154810702249,estimated,0.304,mechanism_candidate,lag_placebo_3,3,,
"Cotton, A Index",135,12,-0.1274106484005068,0.0576425516930096,-2.210357533772366,estimated,0.0507,mechanism_candidate,lag_placebo_3,3,,
DAP,135,12,-0.1442878950867,0.08297299900277316,-1.7389740857972067,estimated,0.1334,mechanism_candidate,lag_placebo_3,3,,
Fish meal,135,12,-0.042182437596563496,0.03432059992396834,-1.2290705200378713,estimated,0.2899,mechanism_candidate,lag_placebo_3,3,,
Gold,135,12,-0.0422999899242065,0.05533938898519445,-0.7643739965311774,estimated,0.4836,negative_control,lag_placebo_3,3,,
Groundnut oil **,135,12,-0.014424041166376599,0.029986941658734223,-0.4810107456281839,estimated,0.6685,mechanism_candidate,lag_placebo_3,3,,
Lamb **,135,12,-0.030060086709085727,0.07244621072657537,-0.4149297307286055,estimated,0.6966,mechanism_candidate,lag_placebo_3,3,,
"Logs, Malaysian",135,12,-0.012591359277660983,0.031452557957380486,-0.40032862493164445,estimated,0.6768,mechanism_candidate,lag_placebo_3,3,,
Maize,135,12,-0.14597877984064672,0.07975311698643499,-1.8303833800687175,estimated,0.0851,mechanism_candidate,lag_placebo_3,3,,
"Natural gas, Europe",135,12,-0.6514320535834629,0.16440507695276965,-3.962359713323248,estimated,0.0012,mechanism_candidate,lag_placebo_3,3,,
"Natural gas, US",135,12,-0.3319846615885066,0.2586427169846613,-1.2835647005989146,estimated,0.2544,mechanism_candidate,lag_placebo_3,3,,
Orange,135,12,0.029903420465283066,0.08612486294251213,0.34721007899012196,estimated,0.7348,mechanism_candidate,lag_placebo_3,3,,
Palm oil,135,12,-0.0640214077804347,0.12199460232426813,-0.5247888559057916,estimated,0.6343,mechanism_candidate,lag_placebo_3,3,,
Platinum,135,12,-0.14313220058967835,0.08099603262327311,-1.7671507597836495,estimated,0.1046,negative_control,lag_placebo_3,3,,
"Rice, Thai 5%",135,12,0.10863084696213449,0.05795757191792838,1.8743167349378043,estimated,0.1246,mechanism_candidate,lag_placebo_3,3,,
"Rubber, RSS3",135,12,-0.16514660868789782,0.13495558177152617,-1.2237108426347547,estimated,0.2771,mechanism_candidate,lag_placebo_3,3,,
"Shrimps, Mexican",114,10,-0.07039662697396973,0.11831208777062645,-0.5950079007180467,estimated,0.699,mechanism_candidate,lag_placebo_3,3,,
Silver,135,12,-0.17428554662887563,0.12243547943038155,-1.4234889056646094,estimated,0.2053,negative_control,lag_placebo_3,3,,
Sorghum,76,7,,,,insufficient_observations,,mechanism_candidate,lag_placebo_3,3,,
Soybeans,135,12,-0.016537690020046267,0.06349954026048422,-0.2604379488765791,estimated,0.8031,mechanism_candidate,lag_placebo_3,3,,
"Sugar, world",135,12,-0.12429714202294533,0.08862048902056908,-1.4025779297392005,estimated,0.2169,mechanism_candidate,lag_placebo_3,3,,
"Tea, avg 3 auctions",135,12,-0.11822740813818804,0.04056792049198433,-2.9143078251089594,estimated,0.0026,mechanism_candidate,lag_placebo_3,3,,
"Tobacco, US import u.v.",135,12,-0.022436314030735763,0.022916408787915288,-0.9790501748497044,estimated,0.3887,mechanism_candidate,lag_placebo_3,3,,
Urea,135,12,0.007442888898953081,0.12328188211498038,0.06037293372931619,estimated,0.9555,mechanism_candidate,lag_placebo_3,3,,
"Wheat, US HRW",135,12,-0.13002708178998987,0.07414912430164729,-1.7535889063372418,estimated,0.1241,mechanism_candidate,lag_placebo_3,3,,
"Banana, US",135,12,-0.052719462159266796,0.05244707416144731,-1.0051935785203383,estimated,0.333,mechanism_candidate,lead_placebo_-1,-1,,
Barley,80,7,,,,insufficient_observations,,mechanism_candidate,lead_placebo_-1,-1,,
Beef **,135,12,-0.04360565406412313,0.06960542209354846,-0.6264692139287353,estimated,0.5763,mechanism_candidate,lead_placebo_-1,-1,,
Chicken **,135,12,0.0039062187630019853,0.1056585608759626,0.036970206016601656,estimated,0.9765,mechanism_candidate,lead_placebo_-1,-1,,
"Coal, Australian",135,12,-0.19712734682670174,0.14588701195735618,-1.351233013699146,estimated,0.2118,mechanism_candidate,lead_placebo_-1,-1,,
Cocoa,135,12,-0.06370404338383641,0.0644072629658889,-0.9890816726302292,estimated,0.3321,mechanism_candidate,lead_placebo_-1,-1,,
Coconut oil,135,12,-0.21347277932319342,0.07757405911168866,-2.75185779586243,estimated,0.0053,mechanism_candidate,lead_placebo_-1,-1,,
"Coffee, Arabica",135,12,-0.09224557299534146,0.10073156593646089,-0.9157563683019462,estimated,0.4023,mechanism_candidate,lead_placebo_-1,-1,,
"Coffee, Robusta",135,12,0.009764838021020222,0.06160115913592604,0.15851711490482864,estimated,0.8988,mechanism_candidate,lead_placebo_-1,-1,,
"Cotton, A Index",135,12,0.02601867119126308,0.05116108607098058,0.5085636992765348,estimated,0.6655,mechanism_candidate,lead_placebo_-1,-1,,
DAP,135,12,-0.1844544522879765,0.06761877380752067,-2.727858579823303,estimated,0.0181,mechanism_candidate,lead_placebo_-1,-1,,
Fish meal,135,12,-0.05129816917897591,0.03527333481474007,-1.4543044894507495,estimated,0.2163,mechanism_candidate,lead_placebo_-1,-1,,
Gold,135,12,-0.10857427786048102,0.041270813256190836,-2.630776311251737,estimated,0.0368,negative_control,lead_placebo_-1,-1,,
Groundnut oil **,135,12,-0.03854565067280071,0.03878814592179687,-0.9937482124181685,estimated,0.4658,mechanism_candidate,lead_placebo_-1,-1,,
Lamb **,135,12,-0.023870297519770434,0.03595077116882933,-0.6639717798450698,estimated,0.4951,mechanism_candidate,lead_placebo_-1,-1,,
"Logs, Malaysian",135,12,-0.00795116332279617,0.03133974634389412,-0.25370860489894437,estimated,0.8263,mechanism_candidate,lead_placebo_-1,-1,,
Maize,135,12,-0.1242172083735747,0.07657613521187774,-1.6221399530007534,estimated,0.1355,mechanism_candidate,lead_placebo_-1,-1,,
"Natural gas, Europe",135,12,-0.3709223363894477,0.22012285601091658,-1.6850696157197438,estimated,0.1698,mechanism_candidate,lead_placebo_-1,-1,,
"Natural gas, US",135,12,-0.14642282510499946,0.17951565158254654,-0.8156549237583887,estimated,0.4479,mechanism_candidate,lead_placebo_-1,-1,,
Orange,135,12,0.0373383180743918,0.0824709667632858,0.452745002754278,estimated,0.6661,mechanism_candidate,lead_placebo_-1,-1,,
Palm oil,135,12,-0.08045255747093315,0.07160713236269783,-1.1235271517847172,estimated,0.297,mechanism_candidate,lead_placebo_-1,-1,,
Platinum,135,12,-0.03579285154909972,0.04800362322850567,-0.7456281243338543,estimated,0.5209,negative_control,lead_placebo_-1,-1,,
"Rice, Thai 5%",135,12,-0.09591562170777146,0.07016237754719665,-1.3670520449973518,estimated,0.2157,mechanism_candidate,lead_placebo_-1,-1,,
"Rubber, RSS3",135,12,-0.1126700145358892,0.062423309040469915,-1.80493498771178,estimated,0.1001,mechanism_candidate,lead_placebo_-1,-1,,
"Shrimps, Mexican",118,10,-0.016082834292146943,0.06931119121485654,-0.23203805922613632,estimated,0.861,mechanism_candidate,lead_placebo_-1,-1,,
Silver,135,12,-0.1211902870532742,0.0659570287780697,-1.8374127715948478,estimated,0.1199,negative_control,lead_placebo_-1,-1,,
Sorghum,80,7,,,,insufficient_observations,,mechanism_candidate,lead_placebo_-1,-1,,
Soybeans,135,12,-0.17545867352392674,0.0567957478787946,-3.0892924220025355,estimated,0.0226,mechanism_candidate,lead_placebo_-1,-1,,
"Sugar, world",135,12,0.01282224502694863,0.07149652434634428,0.17934081613303277,estimated,0.8773,mechanism_candidate,lead_placebo_-1,-1,,
"Tea, avg 3 auctions",135,12,-0.02356685556879431,0.04187049722273565,-0.5628511035688758,estimated,0.5945,mechanism_candidate,lead_placebo_-1,-1,,
"Tobacco, US import u.v.",135,12,0.0353918254913944,0.01604487775907944,2.2058021271846058,estimated,0.0658,mechanism_candidate,lead_placebo_-1,-1,,
Urea,135,12,-0.15629506516317776,0.11094958202296543,-1.4087035058034403,estimated,0.1831,mechanism_candidate,lead_placebo_-1,-1,,
"Wheat, US HRW",135,12,-0.1728961109786538,0.07176755466414568,-2.4091124713356145,estimated,0.0413,mechanism_candidate,lead_placebo_-1,-1,,
